word_image,word,author
fgaw001_2_000_0023_0026_0129_0085.jpg,saa,Grønvold_Aimar
fgaw001_2_001_0108_0026_0284_0107.jpg,forhold,Grønvold_Aimar
fgaw001_2_002_0277_0026_0372_0110.jpg,mig,Grønvold_Aimar
fgaw001_2_003_0362_0026_0448_0085.jpg,det,Grønvold_Aimar
fgaw001_2_005_0602_0026_0786_0085.jpg,Dernæst,Grønvold_Aimar
fgaw001_2_007_0820_0026_0998_0085.jpg,hvorledes,Grønvold_Aimar
fgaw001_2_008_0005_0108_0080_0166.jpg,er,Grønvold_Aimar
fgaw001_2_009_0072_0108_0152_0166.jpg,det,Grønvold_Aimar
fgaw001_2_010_0153_0108_0304_0202.jpg,egentlig,Grønvold_Aimar
fgaw001_2_011_0322_0108_0403_0166.jpg,med,Grønvold_Aimar
fgaw001_2_012_0415_0108_0497_0166.jpg,Dem,Grønvold_Aimar
fgaw001_2_013_0512_0108_0587_0197.jpg,og,Grønvold_Aimar
fgaw001_2_014_0573_0108_0724_0166.jpg,Rikard,Grønvold_Aimar
fgaw001_2_015_0741_0100_0964_0166.jpg,Nordraak,Grønvold_Aimar
fgaw001_2_016_0004_0193_0119_0265.jpg,hvad,Grønvold_Aimar
fgaw001_2_018_0302_0193_0394_0265.jpg,har,Grønvold_Aimar
fgaw001_2_019_0387_0193_0454_0265.jpg,han,Grønvold_Aimar
fgaw001_2_020_0454_0193_0572_0265.jpg,givet,Grønvold_Aimar
fgaw001_2_022_0707_0193_0782_0265.jpg,Er,Grønvold_Aimar
fgaw001_2_023_0771_0193_0856_0265.jpg,det,Grønvold_Aimar
fgaw001_2_024_0856_0193_0984_0265.jpg,andet,Grønvold_Aimar
fgaw001_2_025_0003_0282_0092_0335.jpg,end,Grønvold_Aimar
fgaw001_2_026_0083_0282_0174_0335.jpg,rent,Grønvold_Aimar
fgaw001_2_028_0405_0282_0465_0372.jpg,jeg,Grønvold_Aimar
fgaw001_2_029_0476_0282_0608_0335.jpg,mener,Grønvold_Aimar
fgaw001_2_031_0820_0282_0872_0335.jpg,at,Grønvold_Aimar
